village,lat,lon,elevation_m,slope_deg,recent_rainfall_3day_mm,distance_to_stream_m
Kullu_Village_1,31.91996,77.24471,1690.8,27.7,23.4,510.2
Kullu_Village_2,31.82503,77.21935,1442.1,32.4,3.1,2911.2
Kullu_Village_3,32.05733,77.0232,645.5,9.9,45.6,1598.0
Kullu_Village_4,31.93718,77.04687,1462.5,8.0,43.8,1130.8
Kullu_Village_5,31.94442,77.19505,679.4,24.1,88.9,187.0
Kullu_Village_6,31.98986,77.01066,423.6,42.8,144.8,2434.8
Kullu_Village_7,31.89898,76.9888,1600.0,20.9,18.3,1510.8
Kullu_Village_8,31.81792,77.2323,791.7,30.5,46.8,1584.2
Kullu_Village_9,31.97161,77.01496,2142.2,35.3,140.9,2689.7
Kullu_Village_10,31.98697,77.23606,468.1,10.4,6.8,1009.7
Kullu_Village_11,31.9242,77.0409,1874.6,17.3,42.1,1651.0
Kullu_Village_12,31.84988,77.20016,441.6,44.4,115.8,636.2
Kullu_Village_13,31.80926,77.20414,1643.0,33.3,115.7,268.4
Kullu_Village_14,31.91514,76.99426,1939.9,28.8,49.6,237.5
Kullu_Village_15,31.90089,77.05705,1686.3,29.4,133.1,1443.0
Kullu_Village_16,31.84348,77.17347,1745.5,26.1,115.6,1506.7
Kullu_Village_17,31.96442,77.08776,348.3,6.6,4.7,1927.4
Kullu_Village_18,31.90191,77.11207,2024.4,12.7,61.6,2278.9
Kullu_Village_19,31.87624,76.98259,850.5,8.9,139.5,2434.0
Kullu_Village_20,31.99762,77.22094,1827.0,10.0,133.9,1641.1
Kullu_Village_21,32.04983,77.22833,904.2,6.7,34.2,1310.0
Kullu_Village_22,32.053,77.21772,313.2,24.0,62.6,705.2
Kullu_Village_23,31.84356,77.06078,2091.5,15.9,77.8,2123.9
Kullu_Village_24,31.91669,77.25103,2128.6,12.8,74.6,937.6
Kullu_Village_25,31.89305,76.97057,1458.2,23.6,7.7,872.0
